#VALIDAÇÃO	Update
negativo	Aí que PREGUIÇA de você Bruno!!!#amoravida
neutro	Alejandra 10 x Carminha 5 ! 😉 “@mauriciostycer: Imagine o sequestro da Paulinha em #SalveJorge #AmorAVida
neutro	Alejandra conhece muito bem o Peru. Wolf Maya também conhece #AmorAVida
neutro	Alejandra demoinha #Amoravida
neutro	Alejandra poderia ser contratada para elaborar as provas da Fazenda hein? #AmorAvida
neutro	Alejandra truqueira fazendo a Vilma Martins #AmorAVida
neutro	Alejandra virou a Wanda em #AmorAVida
neutro	amor a vida meu deus ooo ninho com ciqueo fugi com paulinha
neutro	"Amor a vida, cara essa mulher conseguiu fazer um sequestro certo, vou treinar p fazer isso com o @adamovich_igor e ir p turquia :-)"
neutro	Até no site da novela tem foto do Ninho. Essa policia realmente é incompetente. #amoràvida
neutro	"Bruno e Paloma não mereciam isso, coitados! #amoravida"
neutro	Bruno poderia ir de égua pro Peru... #amoràvida
neutro	"Bruno, esse teu discurso para ""pagar"" tudo mostra como tu é chato #Amoravida"
neutro	"cara,o ninho so ta mostrando ser sem carater a cada capitulo de #AmoraVida"
neutro	Caraaaaaaaaaaaaaaaaaaaaa...eu adoro te odiar! ou melhor...Adoro odiar a Alejandra haha mto sinicaaaaaaaaaaa! #AmoràVida @mcamposmaya
neutro	como conquistar o amor do seu filho: sequestre ele (via: amor à vida)
neutro	É hj q a paloma vai ser presa??? #AmorAVida
neutro	Essa Alejandra é o cão! #AmoràVida
neutro	Essa Alejandra é o capetaa! #Amoravida
neutro	essa Alejandra é uma fdppp #AmoraVida
neutro	Esses dubles são tão bons que eu achei que era o Ninho mesmo kkkk #AmoràVida
neutro	Eu faria tudo pra dá a Paulinha pra Paloma pra ver se ela aparece menos nessa novela. #AmorAVida
neutro	Fiquei enjoado de tando que o câmera rodou enquanto o Ninho estava no telefone com a Paloma #AmorAVida
neutro	"ISSO NINHO.. SOME COM A PAULINHA NO MUNDO SIM, SE POSSIVEL LEVA A PALOMA COM VC. #AmorAVida"
neutro	"ISSO NINHO.. SOME COM A PAULINHA NO MUNDO SIM, SE POSSIVEL LEVA A PALOMA COM VC. #AmorAVida"
negativo	"Já deu né, Paloma #amoràvida"
neutro	Já quero a Ciça se vingando da Alejandra má. #AmoràVida
neutro	legal seria se a Paloma desse uma surra bem dada nessa Alejandra --' #AmorAVida
neutro	"Luis Sérgio Lima e Silva, http://obucaneiroprateado.blogspot.com , ajudando a fuga de Binho e Alejandra, com Paulinha #AmoràVida para o Peru."
neutro	"mdss, esse homem é a cara do ninho UHSUDHSUDHSUDHSUD #AmoraVida"
positivo	Muito bem escrita a cena do sequestro da Paulinha para fora do Brasil ! #AmorAVida
neutro	Muricy deixou Adautou no trauma que ele virou sequestrador. Pobre Adauto. #AmorAVida
negativo	"Ninho de olho azul, paulinha justin bieber, ale alejandra cadeirante...não curti, achei fake #AmorAVida"
neutro	Ninho disfarçado tava com cara de terrorista iraniano #AmoràVida
neutro	"nossa, pai, como você é legal, me sequestrando e vindo me dar aula de história aqui no peru. #amoràvida"
positivo	O sequestro da Paulinha foi um dos mais bem planejados que já vi #AmorAVida
positivo	O sequestro da Paulinha foi um dos mais planejados que já vi #AmorAVida
neutro	oh homem insuportável esse Ninho... atá ficando feio pro Cazarré tentar defender o personagem. #AmorAVida
neutro	Otimo texto  do sequestro da Paulinha. Parabéns e  manda o #felix falar que fez quadradinho de 8 ! @WalcyrCarrasco #amoravida
neutro	Paloma telepata. Adivinhou qual o hospital que a cissa ta! #AmorAVida
neutro	paloma trabalha na empresa: csi #AmorAVida
neutro	Paulinha drogada ao cubo! Parece o Ninho nos primeiros capítulos da novela. #AmoràVida
neutro	Paulinha ta parecendo o juninho play #AmoraVida
neutro	Paulinha ta parecendo o juninho play #AmorAVida
neutro	"Quando a Alejandra empurrou a Ciça do penhasco falei pra mina lá do trabalho, eai quando quiser matar já sabe né kkkkkk #AmorAVida"
neutro	"Que mané hotel, Ninho. Vc vai mandar Paloma pra um albergue que eu sei... #amoravida"
neutro	"Resumo da Novela Amor a Vida 27/08/2013, na Terça: Paloma vai ao encontro de Ninho http://bit.ly/15rlycc ( http://blogtvtudo.wordpress.com/2013/08/27/resumo-da-novela-amor-a-vida-27082013-na-terca-paloma-vai-ao-encontro-de-ninho/?utm_source=twitterfeed&utm_medium=twitter )"
positivo	RT @bchateaubriand: Muito bem escrita a cena do sequestro da Paulinha para fora do Brasil ! #AmorAVida
neutro	RT @BiaVilanelli: Alejandra fez direitinho hein.. #AmorAVida #QueremosCampanhaDudalinaComAndréMartinelli
neutro	"RT @Carlao_ER: ""Eu tenho prioridade, desculpa!"" (Alejandra) #AmorAVida"
neutro	"RT @DougRjVr: Alejandra fantasiada de paraplégica, Ninho de corretor de seguros e Paulinha de Tiririca #AmoràVida"
neutro	RT @erreoliveira: amo Paloma querendo mandar nos aeroportos do Brasil e metade da america latina pq siiiiiimmm #amoravida
neutro	"RT @francageorge: troca o niño por uma lhama que é mais inteligente, alejandra. #amoràvida"
negativo	RT @marcelocidral: que merda de sequestro é esse? #AmorAVida
positivo	RT @MrFabioMelo: Hahahahhahahah Bruno falando que vai dividir a passagem no cartão #AmorAVida
positivo	"RT @Mulher_doMP: Impecável a cena do sequestro, atenção sequestradores #AmoraVida"
positivo	"RT @Mulher_doMP: Impecável a cena do sequestro, atenção sequestradores #AmoraVida"
neutro	RT @OiKiridinha: Alejandra é uma vilã à nivel Wanda. #AmorAVida
neutro	"RT @OiKiridinha: Quem diria que o chupetinha ia virar sequestrador, hein. #AmorAVida"
neutro	"RT @OiKiridinha: Quem diria que o chupetinha ia virar sequestrador, hein. #AmorAVida"
neutro	"RT @OiKiridinha: Quem diria que o chupetinha ia virar sequestrador, hein. #AmorAVida"
neutro	"RT @rede_globo: E lá se vão Paulinha, Ninho e Alejandra... Será que essa fuga vai dar certo? #AmoràVida"
neutro	"RT @rede_globo: E lá se vão Paulinha, Ninho e Alejandra... Será que essa fuga vai dar certo? #AmoràVida"
neutro	"RT @rede_globo: Que tensão, gente! Ninho negociando o resgate de Paulinha com Paloma! #AmoràVida http://glo.bo/10ldD9I ( http://tvg.globo.com/novelas/amor-a-vida/index.html )"
neutro	"RT @rede_globo: Que tensão, gente! Ninho negociando o resgate de Paulinha com Paloma! #AmoràVida http://glo.bo/10ldD9I ( http://tvg.globo.com/novelas/amor-a-vida/index.html )"
neutro	"RT @rede_globo: Que tensão, gente! Ninho negociando o resgate de Paulinha com Paloma! #AmoràVida http://glo.bo/10ldD9I ( http://tvg.globo.com/novelas/amor-a-vida/index.html )"
neutro	"RT @rede_globo: Que tensão, gente! Ninho negociando o resgate de Paulinha com Paloma! #AmoràVida http://glo.bo/10ldD9I ( http://tvg.globo.com/novelas/amor-a-vida/index.html )"
neutro	"RT @SabrinaSatoMusa: Alejandra  ligando do Peru, o celular dela não é da Tim #AmorAVida"
neutro	RT @SabrinaSatoMusa: Alejandra virou a Wanda em #AmorAVida
neutro	RT @SabrinaSatoMusa: Alejandra virou a Wanda em #AmorAVida
neutro	RT @SarcBruno: Até o Félix pedindo empréstimo. Não tá facil pra ngm. #AmorAVida
neutro	"RT @SashaOficiaI: ISSO NINHO.. SOME COM A PAULINHA NO MUNDO SIM, SE POSSIVEL LEVA A PALOMA COM VC. #AmorAVida"
neutro	RT @suachacrete: Alguém avisa pro ninho que ninguém gosta dele e se ele morresse não faria falta nenhuma?! #amoravida
neutro	RT @thiago_p: Adoro quando o seqüestrador da minha filha liga do Peru falando que está com saudades. ❤ #AmorAVida
neutro	RT @thiago_p: Adoro quando o seqüestrador da minha filha liga do Peru falando que está com saudades. ❤ #AmorAVida
neutro	"RT @thiago_p: Nossa, Alejandra, que ótimo disfarce, ficou IRRECONHECÍVEL de óculos, só faltou o bigode. #AmorAVida"
neutro	"RT @thiago_p: Nossa, Alejandra, que ótimo disfarce, ficou IRRECONHECÍVEL de óculos, só faltou o bigode. #AmorAVida"
neutro	"RT @YuriOlpe: ""A Alejandra é Boliviana, ela conhece muito bem o Peru..."" han? #AmorAVida"
neutro	"RT @ZAMENZA: Alejandra fantasiada de paraplégica, Ninho de corretor de seguros e Paulinha de Justin Bieber. #AmoràVida"
neutro	RT @ZAMENZA: Contando as horas para Paloma meter a porra na Alejandra e pro Bruno descer o cacete no Ninho. Ciça se vingará lindamente! #AmoràVida
neutro	RT @ZAMENZA: Todos que acharam esse sequestro da Paulinha forçado devem achar que moram no país das maravilhas e não no Brasil. Perdão. #AmoràVida
negativo	São tantos erros nessa novela. Como uma avó com a neta sequestrada tem cabeça de ir trabalhar? Como assim?  Acho errado isso. #AmorAVida
neutro	"Sim, e no Peru ninguém tava avisado desse sequestro? #amoràvida"
neutro	Só falta a Alejandra vender para a Paulinha para a Wanda. #AmorAVida
neutro	Tbm quero ser sequestrada e levada pra um paraiso nos Andes #AmorAVida
neutro	Vcs tem cara de quem queria ser sequestrados pelo Ninho só pra conhecer o Piru #AmorAVida
neutro	"Você vai pro Peru, Paloma? #AmorAVida"
neutro	A Paulinha esta igual ao Tiririca. #AmorAVida
neutro	Daqui a pouco vai ter fã do justin bieber pedindo autografo pra paulinha #AmorAVida
neutro	"Éh impressão minha, ou a Paulinha tá a cara do Tiririca? Kkkkkkkk #AmorAVida"
neutro	Paulinha da parecendo o Justin Bieber ahsuashuashuashua #amoravida
neutro	RT @EuPedroBial: Por que a Paulinha ta com a peruca do Tiririca? #AmorAVida
neutro	RT @SabrinaSatoMusa: Paulinha tá parecendo o Tiririca com esse look #AmorAVida
neutro	"RT @assimcomovc: E essa fala ""cadeirante com tanta fibra""... pelamor de gzuis... é que cadeirante come barra de cereal dia e noite, minha filha.. #amoràvida"
positivo	"RT @LeoDias_: Muito boa essa seqüência do embarque. Um esquema bem pensado, bem lógico... Quase real #AmorAVida"
positivo	"RT @LeoDias_: Muito boa essa seqüência do embarque. Um esquema bem pensado, bem lógico... Quase real #AmorAVida"
neutro	RT @mordomoeugenio: Se fosse a Tam eles colocavam a cadeirante na esteira de bagagem. #amoravida
neutro	RT @OiKiridinha: O que o Justin Bieber tá fazendo em amor à vida?
neutro	RT @OiKiridinha: O que o Justin Bieber tá fazendo em amor à vida?
neutro	RT @samara7days: Na Gol perderiam a cadeirante. RT @mordomoeugenio: Se fosse a Tam eles colocavam a cadeirante na esteira de bagagem. #amoravida
neutro	RT @samara7days: Na Gol perderiam a cadeirante. RT @mordomoeugenio: Se fosse a Tam eles colocavam a cadeirante na esteira de bagagem. #amoravida
neutro	RT @samara7days: Na Gol perderiam a cadeirante. RT @mordomoeugenio: Se fosse a Tam eles colocavam a cadeirante na esteira de bagagem. #amoravida
neutro	"RT @WalkenesLagares: Ela é cadeirante, exemplo de superação, tava com o mini Tiririca no colo e viajou usando as milhas do cartão #AmorAVida"
neutro	"Eu Amo a boca da Paola, eu tão linda gente. #AmorAVida"
neutro	gostei dessa Ratinha cover! #AmorAVida
neutro	"RT @amo_a_demetria: A Paola Oliveira, ta a cada dia mais linda. Cmo pode isso. #AmorAVida"
neutro	RT @kbms0885: é impressão minha ou a Paolla Oliveira está excepcionalmente linda no capítulo de hoje #AmoràVida
neutro	"""Ciça, vc esta bem?"" É uma pergunta q nunca pode ser feita. Que mulher monstra! #AmorAVida"
neutro	A enfermeira Ciça ta parecendo eu saindo de um plantão de 36 horas #AmoraVida
neutro	"Ainda bem que Ciça não morreu, gosto dela, haha #AmoràVida"
neutro	Ciça em: O GIGANTE ACORDOU #AmorAVida
neutro	Cissa vi cabuetaar #AmorAVida
negativo	era pra essa velha ter morrido #amoravida
neutro	"Eu ia dizer ""nossa, a Cissa ficou com a cara toda deformada!"", mas daí lembrei que ela era assim mesmo... #amoràvida"
neutro	"Parece que a Ciça que caiu do penhasco , sobreviveu a um terremoto e apanhou de um lutador de MMA ,porque olha ... #AmorAVida"
neutro	"RT @_LucasCostaReal: ""Quedas, tombos e traumas"", amanha o Bem Estar é com a Ciça. #amoravida"
neutro	"RT @FatosMarcados: Como assim, Cissa tá viva? Ai gente, nem gata ela é pra ter 7 vidas. #AmorAVida"
neutro	RT @thiago_p: Ciça ta parecendo eu voltando da balada. #AmorAVida
neutro	RT @thiago_p: Ciça ta parecendo eu voltando da balada. #AmorAVida
neutro	RT @thiago_p: Ciça ta parecendo eu voltando da balada. #AmorAVida
neutro	RT @thiago_p: Ciça ta parecendo eu voltando da balada. #AmorAVida
neutro	RT @thiago_p: Ciça ta parecendo eu voltando da balada. #AmorAVida
neutro	"RT @valeria_bandida: Como assim, Cissa tá viva? Ai gente, nem gata ela é pra ter 7 vidas. #AmorAVida"
neutro	"Uhul , revela tudo Cissa #AmoràVida"
neutro	#AmorAVida  Paulinha no Peru!
neutro	#Amoravida Paulinha passou pela alfândega
neutro	Aham achou sim a Paulinha #amoravida
negativo	"Como assim gente, a Paulinha daquele tamanho no colo? me poupe! #AmorAVida"
neutro	"Crianças geralmente corre mais que muitos adultos, mas a paulinha parece um jegue correndo #AmorAVida"
positivo	"kkkkkkkkkkkkkkkkk É DISSO QUE EU TÔ FALANDO PAULINHAAAA, CORRE BURRA #AmorAVida"
neutro	"Mto chato essa fulga da Paulinha,q perseguição sem sentido! A Maria Maia é mto forçada,não tem naturalidade,mto técnica. #AmorAVida"
negativo	"Paulinha burra, sai correndo com o celular e fim #AmorAVida"
neutro	"Paulinha parece a Morena de Dorme Jorge, tenta fugir inúmeras vezes mas nunca consegue. #AmoràVida"
neutro	Paulinha parecendo aquelas meninas da febem #AmoràVida
neutro	Paulinha vai passar o Criança Esperança no Peru #AmorAVida
neutro	pior! auhauhauha RT @tamirodriguez Pq a Paulinha tá vestida de south Park? Kkkkkkkkkk #amoravida
neutro	RT @Paulinha Arr%mbaram meu quarto #AmoraVida
negativo	"RT @SabrinaSatoMusa: Paulinha é mais lenta que o sinal da Tim,eu hein #AmorAVida"
negativo	"RT @valeria_bandida: Como assim gente, a Paulinha daquele tamanho no colo? me poupe! #AmorAVida"
negativo	Quero ver o @morridesunga explicando (ou não) como uma menina daquele tamanho passa por criança de colo. @thiago_p @bicmuller #AmoràVida
neutro	#eficienciapura a polícia federal do aeroporto do rio kkk #AmoraVida .
neutro	Não tem como checar as câmeras do aeroporto? #amoràvida ou #salvejorge?
neutro	rastrear o celular não tem como não? #amoràvida
neutro	RT @thiago_p: Que aeroporto é esse que o locutor do Vídeo Show chama os vôos? #AmorAVida
neutro	@jeanwyllys_real O filho não é do milhionário e sim do Palhaço. #AmoràVida
neutro	@valeria_bandida por favor né cadê a valdirene #AmorAVida
neutro	"A Valdirene está se tornando cada vez mais uma dos melhores personagens dessa novela.Agora,há um lado mais dramático prevalecendo.#AmoràVida"
neutro	Ela vai contar que tá grávida no dia do casamento? Hahahahaha #AmorAVida
neutro	"Em ""Amor à Vida"", Valdirene é rejeitada pelo noivo rico no altar | http://MULHERES.com ESTILO http://fb.me/1MsY6juWr ( http://mulherescomestilooficial.blogspot.com.br/2013/08/em-amor-vida-valdirene-e-rejeitada-pelo.html )"
positivo	Eu naum aguento Valdirene Amuuh o Pailhaço kkkk #AmorAVida
neutro	Já estou até vendo a cena. Valdirene diz q está  grávida e o casamento é cancelado pq ele não pode ter filhos #AmorAVida
neutro	Pezinha... adorei  #AmorAVida #MPN #Valdirene #TataWerneck
positivo	quero só ver a cara da Valdirene quando Ignácio falar que é estéril kkkkkkkkk #AmoràVida
neutro	"RT @daiaaaah: Vemk, hoje #Valdirene vai fechar mais um capítulo de #AmorAVida? :D #MPN"
neutro	RT @SabrinaSatoMusa: Valdirene tá gravida... o Palhaço vai ser papai  #AmorAVida
neutro	"RT @ZAMENZA: A Valdirene está se tornando cada vez mais uma dos melhores personagens dessa novela.Agora,há um lado mais dramático prevalecendo.#AmoràVida"
neutro	RT @ZAMENZA: Imaginem o quão genial será Valdirene e Carlito cuidando de uma criança!!! #AmoràVida
neutro	Se fudeu Valdirene. #AmorAVida
neutro	Tirando a Valdirene ... amor a vida é um saco!!!
neutro	Valdirene descobriu q tá grávida pq as roupas estão justas.E a mestruação? #amoravida
neutro	"VALDIRENE É MUTO EU, COME COME COME E NÃO ENGORDA #AMORAVIDA"
neutro	valdirene é tão burra que vai cagar a chance da vida dela em pleno altar. #amoràvida
positivo	Valdirene esta gravida do Palhaço kkkkkkkk #AmoràVida
neutro	"Valdirene grávida e a @Tatawerneck com corpão, hein? #AmorAVida"
neutro	Valdirene toma um fora no altar! #AmoràVida
neutro	@ForeverGiGrigio o Chay de td por um popstar a Sophia de estar ruiva e em amor a vida e a Mel do livro tavam perfeitoooos
neutro	"Amor a vida ta bom, mas vai ficar melhor ainda quando a Sophia entrar. Não vou perder um dia!!"
neutro	"RT @DreamRebeldeBR: ""@0psarthura: Estou louca para ver a sophia em amor a vida."""
neutro	RT @TVFamaOficial: E agora Marina Ruy Barbosa? Sophia Abrahão fica ruiva e revela ao TV FAMA o que vai causar em Amor à Vida! Hoje 19h15!
neutro	Sophia Abrahão fica ruiva e revela ao @TVFamaOficial o que vai causar em Amor à Vida!
neutro	"""Osvaldo não fale assim com a mamãe"" está de cama #AmorAVida"
neutro	"César, se ela te olha ""engravida"" #AmoràVida"
neutro	"RT @LidiaGovernanta: César, se ela te olha ""engravida"" #AmoràVida"
neutro	RT @VALDlRENE: Pricila emagreceu e a Dilma fez quadradinho de 8 na entrada de Brasília #AmoràVida
neutro	RT @VALDlRENE: Walcyr bafônico estiloso gordinho sabe o que é lógica não voa como certas autoras que conhecemos #AmoràVida
neutro	"""Ah meus tempos"" CESAR (Fagundes, Antonio) - Amor a Vida! Hahahahaha"
neutro	"""Devido ao sucesso, Amor à Vida que terminaria nos primeiros dias de janeiro, será esticada até o dia 17 do mesmo mês!"" Novela linda,Brasil!"
neutro	"""Me empresta seu apê?"" Patrícia é super objetiva, né gente? Será que a Pê vai emprestar? #AmoràVida"
negativo	#AmorÀVida Amor a vida Função: ser a nova salve jorge.
positivo	#AmoraVida está babado hoje.
neutro	#AmorAVida não existe motel na novela?
negativo	"#Amoravida, tá perdendo a graça --'"
negativo	#AmorAVida> essa novela deu o que tinha q dá..ainda bem que vem #Rebeldeeee
neutro	"@CColaresC Se a ""P"" tá tão afim podia propor um ""menage""... #VaiQueCola! #AmoraVida"
neutro	"@contagiar Ah, ponho ja já anja. Tô vendo #Amoravida só por três atores, ehehe,"
neutro	@edrisiaalves boa noite! Amor a vida.
neutro	@hollypedia Assistindo #AmorAVida por falta de opção mesmo! rsrs
neutro	"@JPRocha02 @lisa_cardoso kkk para né, nem assisto mais amor a vida e vcs?"
neutro	@lariiissab @camilapivante hahahahahahahah tu tem amor à vida ??? Ta pedindo pra ir pro saco essa guria -' kkkkkk
neutro	@opslylas to vendo amor a vida e ti?
neutro	"@rede_globo ""Me empresta seu apê?"" #AmoràVida uai por que não vão ao motel???"
neutro	"@rejanilys_assis ARMARIAAA, o promotor pegando Abby só p saber do pessoal de Liv Pope O.o carregando o 2x04 em 3,2, 1... foda-se amor à vida"
neutro	@sckthured vendo amor a vida i vooç ?
neutro	"@SouTodaDoLucasS tava assistindo brilhante vitoria,mas a minha prima mudou pra amor a vida '-'"
neutro	"@vinnyfalcao ui,kkkk sou mais sangue bom,e na hora de amor a vida eu prefiro ver simpsons kkkk mais minha mãe nao deixa :s tenso"
neutro	@WalcyrCarrasco não existe  motel  em #AmorAvida  pra  Patricia  e Michel tirarem o atraso ?
neutro	“@LeoDias_: Que dificuldade é essa para encontrar um lugar pra transar? #AmorAVida”kkkkkk verdade ..
positivo	21h21 Amor a vida <3
positivo	A irmã do César sambando no velho gagá HAHAHAHA #AmorAVida
neutro	A mina deixa de ir no motel pq falta magia? A vá! #AmorAVida
neutro	a novela é #AmoràVida eu só assisto agora por #AmoràFélix desde que não tem aperecido a Nicole com frequencia só Félix pra salvar a novela!
neutro	a patrícia de Amor a vida é mt igual a mim.. haha
neutro	"Ah que casal mais fofo, Michel e paty :3 #AmorAVida"
negativo	Ai gte que vergonha dessa novela #AmorAVida
neutro	Ainda não entendi qual é a dessa médica e desse médico. #AmorAVida
neutro	"Alguém precisa dar uma camiseta pro dr César com a inscrição: aqui mora a moralidade e os bons constumes, só q não #amoràvida"
neutro	amor a vida
neutro	amor a vida começou xaau
neutro	Amor a vida é a pior novela do mundo #MPN #Pollo
neutro	amor à vida é uma merda #mpn #chayleao
negativo	Amor à Vida tá daquele jeito que a gente gosta: tão sem sentido quanto Salve Jorge.
positivo	"Amor a vida tá muito massa,mais tô sem paciência pra assistir..."
positivo	Amor à vida tá muuuuito bommmmmm
neutro	Amor à Vida tá ótima hoje...muito JEC.
neutro	"Aprendeu, Glorinha? #AmoràVida"
neutro	Arroba lesbianforh4rry vc me deixou com a abertura de amor a vida na cabeça
neutro	Assistindo #AmorAVida
positivo	Assistindo #AmorAVida @rede_globo ^____^
neutro	assistindo amor a vida #viciada
neutro	Até o Félix tá pedindo um empréstimo. É não tá facil pra ngm. #AmorAVida
neutro	Atriz de “Amor à Vida” circula em ônibus em São Paulo http://goo.gl/fb/XQIki ( http://planetvip.wordpress.com/2013/08/26/atriz-de-amor-a-vida-circula-em-onibus-em-sao-paulo/ )
neutro	Boa noiteeeee! Esperando Amor a Vida começar ! #vida #nada #interessante
neutro	Bombom pra agradar a gordinha... Me lembrou um episódio de Dexter... #AmorAVida
neutro	Bora asisstir amor a vida hj ta bom em ........
neutro	Cade Muricy pra dar um jeito no Adauto? #amoravida
neutro	"Caio Castro a minha cama tá vazia, vem que eu aceito vc kkk #AmorAVida"
neutro	Caraca essa mulher é horrivel #amoravida
neutro	Caralhooooo velho egua da cena #AmoràVida
neutro	César de olho na bunda da Patrícia #AmorAVida
neutro	"Cézar é o Mr Catra dessa novela, já comeu todo mundo. #AmorAVida"
neutro	Chamada de #JóiaRara. #AmoràVida
neutro	"Chocolate para gorda, porque sim kk #amoravida"
neutro	"como se fosse a atendente da empresa aérea que identificasse procurado pela Justiça. Aíííí, qto equívoco! #amoràvida"
neutro	corre que começou #AmoràVida
neutro	"Dá licença, eu tenho prioridade #AmorAVida"
neutro	"Depois da novela "" amor à vida "" vai passar o filme legal e eu vou assistir na cama rs"
neutro	Divido em 12x ... quem nunca #AmorAVida
neutro	"E esse esquema que eles montaram pra embarcar? MUITO BOM, tipo aqueles de filme. #amoravida"
neutro	e o avião decola numa boa e ninguém liga A + B. #amoràvida
neutro	ela ta demaissss RT @DI_MARQUES: Maria Maya dando show em #AmorAVida
positivo	"Elizabeth Savalla rouba a cena em ""Amor à Vida"". Colega de elenco estaria irritada... http://wp.me/p3lHZM-1mr ( http://vamosmeconte.wordpress.com/2013/08/26/elizabeth-savalla-rouba-a-cena-em-amor-a-vida-colega-de-elenco-estaria-irritada/ ) via @FrankERROR"
neutro	Em casa novelinha de leve #AmorAVida
negativo	Essa imagem girando não tá boa! Já to enjoada!  #amoravida
neutro	essa novela ai amor a vida manja dos paranaue
positivo	Essa novela AMOR A VIDA é um babado rs
positivo	essa novela amor a vida ta a+
negativo	"essa novela Amor a Vida, ja virou patifaria an"
negativo	Essa novela é mais mexicana que todas aquelas estreladas pela Thalía derrota. Só Gzuis Na Causa !!! #AmorAVida
neutro	Essa novela ta assim hj #AmorAVida http://pic.twitter.com/kKCSy5l9ES ( http://twitter.com/josedamaceno/status/372155403468955649/photo/1 )
positivo	Essa novela tá uma comédia #AmorAVida
negativo	Esse hospital é a vergonha da medicina Brasileira! #AmorAVida
negativo	Esse núcleo é tão chato quanto as minhas cenas! #AmoràVida
neutro	"Esse pessoal desse hospital é completamente anti-ético, não respeitam nem os pacientes #AmorAVida"
positivo	"Esses ""Michel e Patricia"" ... Me identifico kkk #AmorAVida"
neutro	"Esses dois deveriam ser demitidos,local de trabalho é trabalho.. Vão pro motel. Aff #AmorAVida"
neutro	Eu não acredito eles conseguiram fugir #AmoràVida
neutro	Eu teria medo do doutor César querer me atacar no elevador tbm #AmoràVida
neutro	"Eu vejo o povo de Amor a Vida falando que ta chegando vitima de acidente no hospital e ja imagino Carol,Mark,Susan,Carter e Doug aparecendo"
neutro	"ex amiga é pior que pizza fria - Amor a vida ,kkkk"
neutro	EX AMIGO É PIOR QUE PIZZA FRIA #AMORAVIDA
neutro	Félix tá mais rejeitado que o Internet Explorer pedindo pra ser o navegador padrão. #AmorAVida
positivo	Felix vai falir kkkkkkkkkkkkkkk #AmorAVida
neutro	"Frase do dia: ""Ex-amiga é pior do que pizza fria."" #AmoràVida"
neutro	Fui de amor à vida. Novela tá boa demais
neutro	"Fui refém e fui bandida por querer amar demais. ♫ Ai, Ana Carolina. <3 #AmorAVida"
positivo	Gente esse casal está demais! #AmorAVida
neutro	Gente tem atriz nessa novela que nao aparece desde o século passado #AmorAVida
neutro	"Gente, tirem as crianças da sala, cica voltou uma jóia rara #AmorAVida"
neutro	"Gente, vão ficar discutindo valor de passagem no calor dos acontecimentos? #AmorAVida"
neutro	hj tem amor a vida
neutro	Ir assistir #amoràvida
neutro	isso ae vai tomar no cu se não ta satisfeito assiste amor a vida em vez de rebelde até porque ninguém aqui é obrigado a assistir obg de nada
negativo	Ja ta chato essa menina tentando fugir em vão #AmorAVida
